Designator Footprint               Mid X         Mid Y         Ref X         Ref Y         Pad X         Pad Y TB      Rotation Comment        

R8         0402              -232.284mil   2226.378mil   -232.284mil   2226.378mil   -212.599mil   2226.378mil  T        180.00 10K            
R7         0402              -232.284mil   2284.449mil   -232.284mil   2284.449mil   -212.599mil   2284.449mil  T        180.00 20K            
J2         009276002021106   -365.158mil   2758.858mil   -365.158mil   2758.858mil   -315.945mil   2619.095mil  T        180.00 TERM BLK       
R5         2512               295.276mil    605.315mil    295.276mil    605.315mil    177.165mil    605.315mil  T        360.00 0R             
R4         2512               -289.37mil   1488.189mil    -289.37mil   1488.189mil    -171.26mil   1488.189mil  T        180.00 0R             
D2_DRV_3   SMA                 37.441mil  -1720.315mil     37.441mil  -1720.315mil     37.441mil  -1799.055mil  T         90.00 B240A          
D2_DRV_2   SMA                -37.181mil  -1046.346mil    -37.181mil  -1046.346mil    -37.181mil   -967.606mil  T        270.00 B240A          
D2_DRV_1   SMA                 37.213mil   1080.213mil     37.213mil   1080.213mil     37.213mil   1001.472mil  T         90.00 B240A          
D2_DRV_0   SMA                -37.441mil   1790.197mil    -37.441mil   1790.197mil    -37.441mil   1868.937mil  T        270.00 B240A          
U1_DRV_3   MSOP-8EP           255.181mil  -1858.197mil    255.181mil  -1858.197mil    332.937mil  -1896.583mil  T        180.00 AL8860MP-13    
U1_DRV_2   MSOP-8EP          -254.921mil   -908.465mil   -254.921mil   -908.464mil   -332.677mil   -870.079mil  T        360.00 AL8860MP-13    
U1_DRV_1   MSOP-8EP           254.953mil    942.331mil    254.953mil    942.331mil    332.709mil    903.945mil  T        180.00 AL8860MP-13    
U1_DRV_0   MSOP-8EP          -255.181mil   1928.079mil   -255.181mil   1928.079mil   -332.937mil   1966.465mil  T        360.00 AL8860MP-13    
TRIM1      TC33X-2                  0mil  -2834.646mil          0mil  -2844.488mil      39.37mil  -2773.622mil  T        180.00 100            
R3_DRV_3   2512               295.504mil  -2026.906mil    295.504mil  -2026.906mil    177.394mil  -2026.906mil  T        360.00 91mR           
R3_DRV_2   2512              -295.244mil   -739.756mil   -295.244mil   -739.756mil   -177.134mil   -739.756mil  T        180.00 91mR           
R3_DRV_1   2512               295.276mil    773.622mil    295.276mil    773.622mil    177.165mil    773.622mil  T        360.00 91mR           
R3_DRV_0   2512              -295.504mil   2096.787mil   -295.504mil   2096.787mil   -177.394mil   2096.787mil  T        180.00 91mR           
R2         0402               356.299mil  -2790.354mil    356.299mil  -2790.354mil    356.299mil  -2770.669mil  T        270.00 150K           
R1         0402               355.315mil  -2874.016mil    355.315mil  -2874.016mil    355.315mil  -2893.701mil  T         90.00 910K           
L1_DRV_3   1255AY-4R7M=P3     257.149mil  -1641.661mil    257.149mil  -1641.661mil    349.669mil  -1641.661mil  T        180.00 47uH           
L1_DRV_2   1255AY-4R7M=P3     -256.89mil      -1125mil    -256.89mil      -1125mil   -349.409mil      -1125mil  T        360.00 47uH           
L1_DRV_1   1255AY-4R7M=P3     256.921mil   1158.866mil    256.921mil   1158.866mil    349.441mil   1158.866mil  T        180.00 47uH           
L1_DRV_0   1255AY-4R7M=P3    -257.149mil   1711.543mil   -257.149mil   1711.543mil   -349.669mil   1711.543mil  T        360.00 47uH           
J1         PJ-036BH-SMT-TR    126.969mil   2581.693mil    126.969mil   2683.071mil    101.378mil   2330.709mil  T        270.00 BARREL         
D1         SMC                207.677mil   1968.504mil    207.677mil   1968.504mil    207.677mil   2104.331mil  T         90.00 B560C-13-F     
C5_DRV_3   0603               472.441mil  -1855.315mil    472.441mil  -1855.315mil    472.441mil  -1884.842mil  T         90.00 1uF            
C5_DRV_2   0603              -472.181mil   -911.346mil   -472.181mil   -911.346mil   -472.181mil   -881.819mil  T        270.00 1uF            
C5_DRV_1   0603               472.213mil    945.213mil    472.213mil    945.213mil    472.213mil    915.685mil  T         90.00 1uF            
C5_DRV_0   0603              -472.441mil   1925.197mil   -472.441mil   1925.197mil   -472.441mil   1954.724mil  T        270.00 1uF            
C4_DRV_3   0402               414.441mil  -1813.315mil    414.441mil  -1813.315mil    414.441mil   -1793.63mil  T        270.00 1.5nF          
C4_DRV_2   0402              -414.181mil   -953.346mil   -414.181mil   -953.346mil   -414.181mil   -973.031mil  T         90.00 1.5nF          
C4_DRV_1   0402               414.213mil    987.212mil    414.213mil    987.213mil    414.213mil   1006.898mil  T        270.00 1.5nF          
C4_DRV_0   0402              -414.441mil   1883.197mil   -414.441mil   1883.197mil   -414.441mil   1863.512mil  T         90.00 1.5nF          
C3_DRV_3   0402               414.441mil  -1896.315mil    414.441mil  -1896.315mil    414.441mil   -1876.63mil  T        270.00 1.5nF          
C3_DRV_2   0402              -414.181mil   -870.346mil   -414.181mil   -870.346mil   -414.181mil   -890.031mil  T         90.00 1.5nF          
C3_DRV_1   0402               414.213mil    904.212mil    414.213mil    904.213mil    414.213mil    923.898mil  T        270.00 1.5nF          
C3_DRV_0   0402              -414.441mil   1966.197mil   -414.441mil   1966.197mil   -414.441mil   1946.512mil  T         90.00 1.5nF          
C2_DRV_3   1206                12.835mil  -1961.315mil     12.835mil  -1961.315mil     12.835mil  -1904.228mil  T        270.00 10uF           
C2_DRV_2   1206                 92.74mil   -805.346mil      92.74mil   -805.346mil      92.74mil   -862.433mil  T         90.00 10uF           
C2_DRV_1   1206                12.606mil    839.213mil     12.606mil    839.213mil     12.606mil    896.299mil  T        270.00 10uF           
