Designator Footprint               Mid X         Mid Y         Ref X         Ref Y         Pad X         Pad Y TB      Rotation Comment        

R6         2512              -354.331mil  -2787.402mil   -354.331mil  -2787.402mil    -236.22mil  -2787.402mil  T        180.00 0R             
R1_D1      2512              -354.331mil    751.968mil   -354.331mil    751.968mil    -236.22mil    751.968mil  T        180.00 0.1R           
J1         JST_XH-3_right_angle          0mil  -3759.843mil          0mil  -3759.843mil     98.425mil  -3616.142mil  T          0.00 JST 3          
C3_D4      0603               559.055mil   1524.606mil    559.055mil   1524.606mil    559.055mil   1554.134mil  T        270.00 1.5nF          
J2         PJ-036BH-SMT-TR          0mil   2851.378mil          0mil   2952.756mil    -25.591mil   2600.394mil  T        270.00 BARREL         
U1_D4      MSOP-8EP           354.331mil   1574.803mil    354.331mil   1574.803mil    432.087mil   1536.417mil  T        180.00 AL8806MP8-13   
U1_D3      MSOP-8EP           354.331mil   -787.402mil    354.331mil   -787.402mil    432.087mil   -825.787mil  T        180.00 AL8806MP8-13   
R1_D4      2512               354.331mil   1413.386mil    354.331mil   1413.386mil     236.22mil   1413.386mil  T        360.00 0.1R           
R1_D3      2512               354.331mil   -948.819mil    354.331mil   -948.819mil     236.22mil   -948.819mil  T        360.00 0.1R           
LED36_L4   LM301B            4724.409mil   4330.709mil   4724.409mil   4330.709mil   4662.401mil   4286.417mil  T        180.00 2700K          
LED36_L3   LM301B            4724.409mil   -393.701mil   4724.409mil   -393.701mil   4662.401mil   -437.992mil  T        180.00 2700K          
LED35_L4   LM301B            4724.409mil   3543.307mil   4724.409mil   3543.307mil   4662.401mil   3499.016mil  T        180.00 5000K          
LED35_L3   LM301B            4724.409mil  -1181.102mil   4724.409mil  -1181.102mil   4662.401mil  -1225.394mil  T        180.00 5000K          
LED34_L4   LM301B            4724.409mil   2755.905mil   4724.409mil   2755.905mil   4662.401mil   2711.614mil  T        180.00 2700K          
LED34_L3   LM301B            4724.409mil  -1968.504mil   4724.409mil  -1968.504mil   4662.401mil  -2012.795mil  T        180.00 2700K          
LED33_L4   LM301B            4724.409mil   1968.504mil   4724.409mil   1968.504mil   4662.401mil   1924.213mil  T        180.00 2700K          
LED33_L3   LM301B            4724.409mil  -2755.906mil   4724.409mil  -2755.906mil   4662.401mil  -2800.197mil  T        180.00 2700K          
LED32_L4   LM301B            4724.409mil   1181.102mil   4724.409mil   1181.102mil   4662.401mil   1136.811mil  T        180.00 5000K          
LED32_L3   LM301B            4724.409mil  -3543.307mil   4724.409mil  -3543.307mil   4662.401mil  -3587.598mil  T        180.00 5000K          
LED31_L4   LM301B            4724.409mil    393.701mil   4724.409mil    393.701mil   4662.401mil    349.409mil  T        180.00 2700K          
LED31_L3   LM301B            4724.409mil  -4330.709mil   4724.409mil  -4330.709mil   4662.401mil      -4375mil  T        180.00 2700K          
LED30_L4   LM301B            3937.008mil   4330.709mil   3937.008mil   4330.709mil       3875mil   4286.417mil  T        180.00 2700K          
LED30_L3   LM301B            3937.008mil   -393.701mil   3937.008mil   -393.701mil       3875mil   -437.992mil  T        180.00 2700K          
LED29_L4   LM301B            3937.008mil   3543.307mil   3937.008mil   3543.307mil       3875mil   3499.016mil  T        180.00 5000K          
LED29_L3   LM301B            3937.008mil  -1181.102mil   3937.008mil  -1181.102mil       3875mil  -1225.394mil  T        180.00 5000K          
LED28_L4   LM301B            3937.008mil   2755.905mil   3937.008mil   2755.905mil       3875mil   2711.614mil  T        180.00 2700K          
LED28_L3   LM301B            3937.008mil  -1968.504mil   3937.008mil  -1968.504mil       3875mil  -2012.795mil  T        180.00 2700K          
LED27_L4   LM301B            3937.008mil   1968.504mil   3937.008mil   1968.504mil       3875mil   1924.213mil  T        180.00 2700K          
LED27_L3   LM301B            3937.008mil  -2755.906mil   3937.008mil  -2755.906mil       3875mil  -2800.197mil  T        180.00 2700K          
LED26_L4   LM301B            3937.008mil   1181.102mil   3937.008mil   1181.102mil       3875mil   1136.811mil  T        180.00 5000K          
