Designator Footprint               Mid X         Mid Y         Ref X         Ref Y         Pad X         Pad Y TB      Rotation Comment        

R5         2512                421.26mil  -1181.102mil     421.26mil  -1181.102mil     421.26mil  -1062.992mil  T        270.00 0R             
R4         0603               162.402mil   1012.795mil    162.402mil   1012.795mil    162.402mil   1042.323mil  T        270.00 51K            
C1         1206              -106.299mil   -872.047mil   -106.299mil   -872.047mil    -49.213mil   -872.047mil  T        180.00 0.1uF          
C2         1206              -106.299mil   -964.567mil   -106.299mil   -964.567mil    -49.213mil   -964.567mil  T        180.00 4.7uF          
C3         0603               -50.197mil  -1385.827mil    -50.197mil  -1385.827mil    -20.669mil  -1385.827mil  T        180.00 1.5nF          
C4         0603                48.228mil  -1385.827mil     48.228mil  -1385.827mil     77.756mil  -1385.827mil  T        180.00 1.5nF          
C5         0603                -0.984mil   -1446.85mil     -0.984mil   -1446.85mil    -30.512mil   -1446.85mil  T        360.00 1uF            
D1         SMA                129.921mil   -940.945mil    129.921mil   -940.945mil     51.181mil   -940.945mil  T        360.00 B240A          
L1         SRN6045TA          208.661mil  -1181.102mil    208.661mil  -1181.102mil    208.661mil  -1280.512mil  T        360.00 47uH           
LED1       LM301B           -2362.205mil   1968.504mil  -2362.205mil   1968.504mil  -2362.205mil   1999.016mil  T        360.00 2700K          
LED2       LM301B           -2362.205mil   1181.102mil  -2362.205mil   1181.102mil  -2362.205mil   1211.614mil  T        360.00 5000K          
LED3       LM301B           -2362.205mil    393.701mil  -2362.205mil    393.701mil  -2362.205mil    424.213mil  T        360.00 2700K          
LED4       LM301B           -2362.205mil   -393.701mil  -2362.205mil   -393.701mil  -2362.205mil   -363.189mil  T        360.00 2700K          
LED5       LM301B           -2362.205mil  -1181.102mil  -2362.205mil  -1181.102mil  -2362.205mil  -1150.591mil  T        360.00 5000K          
LED6       LM301B           -2362.205mil  -1968.504mil  -2362.205mil  -1968.504mil  -2362.205mil  -1937.992mil  T        360.00 2700K          
LED7       LM301B           -1574.803mil   1968.504mil  -1574.803mil   1968.504mil  -1574.803mil   1999.016mil  T        360.00 2700K          
LED8       LM301B           -1574.803mil   1181.102mil  -1574.803mil   1181.102mil  -1574.803mil   1211.614mil  T        360.00 5000K          
LED9       LM301B           -1574.803mil    393.701mil  -1574.803mil    393.701mil  -1574.803mil    424.213mil  T        360.00 2700K          
LED10      LM301B           -1574.803mil   -393.701mil  -1574.803mil   -393.701mil  -1574.803mil   -363.189mil  T        360.00 2700K          
LED11      LM301B           -1574.803mil  -1181.102mil  -1574.803mil  -1181.102mil  -1574.803mil  -1150.591mil  T        360.00 5000K          
LED12      LM301B           -1574.803mil  -1968.504mil  -1574.803mil  -1968.504mil  -1574.803mil  -1937.992mil  T        360.00 2700K          
LED13      LM301B            -787.402mil   1968.504mil   -787.402mil   1968.504mil   -787.402mil   1999.016mil  T        360.00 2700K          
LED14      LM301B            -787.402mil   1181.102mil   -787.402mil   1181.102mil   -787.402mil   1211.614mil  T        360.00 5000K          
LED15      LM301B            -787.402mil    393.701mil   -787.402mil    393.701mil   -787.402mil    424.213mil  T        360.00 2700K          
LED16      LM301B            -787.402mil   -393.701mil   -787.402mil   -393.701mil   -787.402mil   -363.189mil  T        360.00 2700K          
LED17      LM301B            -787.402mil  -1181.102mil   -787.402mil  -1181.102mil   -787.402mil  -1150.591mil  T        360.00 5000K          
LED18      LM301B            -787.402mil  -1968.504mil   -787.402mil  -1968.504mil   -787.402mil  -1937.992mil  T        360.00 2700K          
LED19      LM301B             787.402mil   1968.504mil    787.402mil   1968.504mil    787.402mil   1999.016mil  T        360.00 2700K          
LED20      LM301B             787.402mil   1181.102mil    787.402mil   1181.102mil    787.402mil   1211.614mil  T        360.00 5000K          
LED21      LM301B             787.402mil    393.701mil    787.402mil    393.701mil    787.402mil    424.213mil  T        360.00 2700K          
LED22      LM301B             787.402mil   -393.701mil    787.402mil   -393.701mil    787.402mil   -363.189mil  T        360.00 2700K          
LED23      LM301B             787.402mil  -1181.102mil    787.402mil  -1181.102mil    787.402mil  -1150.591mil  T        360.00 5000K          
LED24      LM301B             787.402mil  -1968.504mil    787.402mil  -1968.504mil    787.402mil  -1937.992mil  T        360.00 2700K          
LED25      LM301B            1574.803mil   1968.504mil   1574.803mil   1968.504mil   1574.803mil   1999.016mil  T        360.00 2700K          
LED26      LM301B            1574.803mil   1181.102mil   1574.803mil   1181.102mil   1574.803mil   1211.614mil  T        360.00 5000K          
LED27      LM301B            1574.803mil    393.701mil   1574.803mil    393.701mil   1574.803mil    424.213mil  T        360.00 2700K          
LED28      LM301B            1574.803mil   -393.701mil   1574.803mil   -393.701mil   1574.803mil   -363.189mil  T        360.00 2700K          
LED29      LM301B            1574.803mil  -1181.102mil   1574.803mil  -1181.102mil   1574.803mil  -1150.591mil  T        360.00 5000K          
LED30      LM301B            1574.803mil  -1968.504mil   1574.803mil  -1968.504mil   1574.803mil  -1937.992mil  T        360.00 2700K          
LED31      LM301B            2362.205mil   1968.504mil   2362.205mil   1968.504mil   2362.205mil   1999.016mil  T        360.00 2700K          
LED32      LM301B            2362.205mil   1181.102mil   2362.205mil   1181.102mil   2362.205mil   1211.614mil  T        360.00 5000K          
LED33      LM301B            2362.205mil    393.701mil   2362.205mil    393.701mil   2362.205mil    424.213mil  T        360.00 2700K          
LED34      LM301B            2362.205mil   -393.701mil   2362.205mil   -393.701mil   2362.205mil   -363.189mil  T        360.00 2700K          
LED35      LM301B            2362.205mil  -1181.102mil   2362.205mil  -1181.102mil   2362.205mil  -1150.591mil  T        360.00 5000K          
LED36      LM301B            2362.205mil  -1968.504mil   2362.205mil  -1968.504mil   2362.205mil  -1937.992mil  T        360.00 2700K          
R1         2512              -161.417mil  -1181.102mil   -161.417mil  -1181.102mil   -161.417mil  -1062.992mil  T        270.00 0.1R           
U1         MSOP-8EP                 0mil  -1181.102mil          0mil  -1181.102mil    -38.386mil  -1258.858mil  T         90.00 AL8806MP8-13   
J1         JST_XH-3_right_angle      0.001mil   1397.638mil      0.001mil   1397.638mil    -98.424mil   1253.937mil  T        180.00 JST 3          
R2         0603               336.614mil   1031.496mil    336.614mil   1031.496mil    307.087mil   1031.496mil  T        360.00 10K            
R3         0603               238.189mil   1031.496mil    238.189mil   1031.496mil    208.661mil   1031.496mil  T        360.00 30K            

