Designator Footprint               Mid X         Mid Y         Ref X         Ref Y         Pad X         Pad Y TB      Rotation Comment        

R3         2512              -354.331mil      -2000mil   -354.331mil      -2000mil    -236.22mil      -2000mil  T        180.00 0R             
U1_D2      MSOP-8EP           354.331mil     -0.001mil     354.33mil     -0.001mil    432.087mil    -38.386mil  T        180.00 AL8806MP8-13   
U1_D1      MSOP-8EP           -354.33mil  -1574.802mil    -354.33mil  -1574.802mil   -432.085mil  -1536.417mil  T        360.00 AL8806MP8-13   
R1_D2      2512                354.33mil   -161.419mil     354.33mil   -161.418mil    236.219mil   -161.419mil  T        360.00 0.1R           
R1_D1      2512               -354.33mil  -1413.384mil    -354.33mil  -1413.385mil   -236.219mil  -1413.384mil  T        180.00 0.1R           
LED36_L2   LM301B            4724.409mil   1968.504mil   4724.409mil   1968.504mil   4662.401mil   1924.212mil  T        180.00 2700K          
LED36_L1   LM301B            -787.403mil  -1968.504mil   -787.402mil  -1968.504mil   -725.394mil  -1924.212mil  T        360.00 2700K          
LED35_L2   LM301B            4724.409mil   1181.103mil   4724.409mil   1181.102mil   4662.401mil   1136.812mil  T        180.00 5000K          
LED35_L1   LM301B            -787.403mil  -1181.103mil   -787.402mil  -1181.102mil   -725.394mil  -1136.812mil  T        360.00 5000K          
LED34_L2   LM301B            4724.409mil    393.701mil   4724.409mil    393.701mil   4662.401mil     349.41mil  T        180.00 2700K          
LED34_L1   LM301B            -787.403mil   -393.701mil   -787.402mil   -393.701mil   -725.394mil    -349.41mil  T        360.00 2700K          
LED33_L2   LM301B            4724.409mil   -393.701mil   4724.409mil   -393.701mil   4662.401mil   -437.992mil  T        180.00 2700K          
LED33_L1   LM301B            -787.403mil    393.701mil   -787.402mil    393.701mil   -725.394mil    437.992mil  T        360.00 2700K          
LED32_L2   LM301B            4724.409mil  -1181.103mil   4724.409mil  -1181.102mil   4662.401mil  -1225.394mil  T        180.00 5000K          
LED32_L1   LM301B            -787.403mil   1181.103mil   -787.402mil   1181.102mil   -725.394mil   1225.394mil  T        360.00 5000K          
LED31_L2   LM301B            4724.409mil  -1968.504mil   4724.409mil  -1968.504mil   4662.401mil  -2012.796mil  T        180.00 2700K          
LED31_L1   LM301B            -787.403mil   1968.504mil   -787.402mil   1968.504mil   -725.394mil   2012.796mil  T        360.00 2700K          
LED30_L2   LM301B            3937.008mil   1968.504mil   3937.008mil   1968.504mil       3875mil   1924.212mil  T        180.00 2700K          
LED30_L1   LM301B           -1574.803mil  -1968.504mil  -1574.803mil  -1968.504mil  -1512.794mil  -1924.212mil  T        360.00 2700K          
LED29_L2   LM301B            3937.008mil   1181.103mil   3937.008mil   1181.102mil       3875mil   1136.812mil  T        180.00 5000K          
LED29_L1   LM301B           -1574.803mil  -1181.103mil  -1574.803mil  -1181.102mil  -1512.794mil  -1136.812mil  T        360.00 5000K          
LED28_L2   LM301B            3937.008mil    393.701mil   3937.008mil    393.701mil       3875mil     349.41mil  T        180.00 2700K          
LED28_L1   LM301B           -1574.803mil   -393.701mil  -1574.803mil   -393.701mil  -1512.794mil    -349.41mil  T        360.00 2700K          
LED27_L2   LM301B            3937.008mil   -393.701mil   3937.008mil   -393.701mil       3875mil   -437.992mil  T        180.00 2700K          
LED27_L1   LM301B           -1574.803mil    393.701mil  -1574.803mil    393.701mil  -1512.794mil    437.992mil  T        360.00 2700K          
LED26_L2   LM301B            3937.008mil  -1181.103mil   3937.008mil  -1181.102mil       3875mil  -1225.394mil  T        180.00 5000K          
LED26_L1   LM301B           -1574.803mil   1181.103mil  -1574.803mil   1181.102mil  -1512.794mil   1225.394mil  T        360.00 5000K          
LED25_L2   LM301B            3937.008mil  -1968.504mil   3937.008mil  -1968.504mil       3875mil  -2012.796mil  T        180.00 2700K          
LED25_L1   LM301B           -1574.803mil   1968.504mil  -1574.803mil   1968.504mil  -1512.794mil   2012.796mil  T        360.00 2700K          
LED24_L2   LM301B            3149.607mil   1968.504mil   3149.606mil   1968.504mil   3087.599mil   1924.212mil  T        180.00 2700K          
LED24_L1   LM301B           -2362.204mil  -1968.504mil  -2362.205mil  -1968.504mil  -2300.197mil  -1924.212mil  T        360.00 2700K          
LED23_L2   LM301B            3149.607mil   1181.103mil   3149.606mil   1181.102mil   3087.599mil   1136.812mil  T        180.00 5000K          
LED23_L1   LM301B           -2362.204mil  -1181.103mil  -2362.205mil  -1181.102mil  -2300.197mil  -1136.812mil  T        360.00 5000K          
